id,type,original_url,local_path,filename,size_bytes,size_human,format,mime_type,hash_md5,dimensions,page_count,title,description,alt_text,keywords,topics,language,author,organization,date_created,date_published,source_page,license,usage_context,priority,status,date_archived,notes
asset_001,pdf,https://crpg.info/wp-content/uploads/2024/07/Realizing-Access-to-Safe-Inclusive-Sustainable-and-Climate-Resillient-Drinking-Water-Sanitation-and-Hygiene-for-All.pdf,assets/pdfs/proceedings/conferences/2023-iswash-proceedings.pdf,2023-iswash-proceedings.pdf,3741730,3.7 MB,pdf,application/pdf,pending,N/A,pending,Realizing Access to Safe Inclusive Sustainable and Climate-Resilient Drinking Water Sanitation and Hygiene for All,"IsWASH 2023 symposium proceedings covering sustainable WASH infrastructure, climate resilience, and inclusive access to water and sanitation services in Indonesia.",N/A,WASH;water;sanitation;hygiene;climate;Indonesia;SDG6;symposium,water;governance;climate,en,Multiple Authors,CRPG/Bappenas,2023-03-20,2024-07,https://crpg.info/wash/,Unknown,/wash/symposium;/research/iswash-2023,1,verified,pending,Major conference proceedings - HIGH PRIORITY
asset_002,pdf,https://cloud.crpg.info/docs/aiirareport8072016_2.pdf,assets/pdfs/research-papers/2016-aiira/2016-aiira-water-sanitation-regulatory-frameworks.pdf,2016-aiira-water-sanitation-regulatory-frameworks.pdf,pending,5-10 MB est,pdf,application/pdf,pending,N/A,pending,The Role of Regulatory Frameworks in Ensuring The Sustainability of Community-Based Water and Sanitation,"Comprehensive research report on regulatory frameworks for community-based water and sanitation systems in Indonesia, including field studies from East Nusa Tenggara and East Java.",N/A,AIIRA;water;sanitation;regulation;community;governance;Indonesia;sustainability,water;regulation;governance,en,Mohamad Mova Al'Afghani et al,CRPG/UNESCO/University of Dundee,2016-08-07,2016-08,https://blog.crpg.info/2016/australia-indonesia-infrastructure-research/,Unknown,/research/aiira;/publications/2016,1,pending,pending,Major research output with UNESCO partnership
asset_003,pdf,https://crpg.info/wp-content/uploads/2022/05/W2-4-UNICEF-water-sanitation-and-hygiene-research-agenda-06042022.pdf,assets/pdfs/research-papers/2022-wash/2022-unicef-wash-research-agenda.pdf,2022-unicef-wash-research-agenda.pdf,pending,2-5 MB est,pdf,application/pdf,pending,N/A,pending,UNICEF Water Sanitation and Hygiene Research Agenda,Research agenda document for WASH research priorities in collaboration with UNICEF.,N/A,UNICEF;WASH;research;agenda;water;sanitation;hygiene,water;research,en,UNICEF/CRPG,UNICEF,2022-04-06,2022-05,https://crpg.info/,Unknown,/research/wash;/partnerships/unicef,1,pending,pending,International partnership document
asset_004,pdf,https://crpg.info/wp-content/uploads/2022/05/W2-5-Trends-WASH-research-Indonesia.pdf,assets/pdfs/reports/research/2022-wash-research-trends-indonesia.pdf,2022-wash-research-trends-indonesia.pdf,pending,2-4 MB est,pdf,application/pdf,pending,N/A,pending,Trends in WASH Research Indonesia,Analysis of water sanitation and hygiene research trends in Indonesia.,N/A,WASH;research;trends;Indonesia;water;sanitation,water;research,en,CRPG,CRPG,2022,2022-05,https://crpg.info/,Unknown,/research/wash-trends,1,pending,pending,Research analysis document
asset_005,pdf,pending,assets/pdfs/research-papers/2017-pops/2017-pops-regulation-indonesia-main-report.pdf,2017-pops-regulation-indonesia-main-report.pdf,pending,10-15 MB est,pdf,application/pdf,pending,N/A,pending,Regulation of Persistent Organic Pollutants in Indonesia - Main Report,"Major research report on POPs and PCB regulation in Indonesia, produced in collaboration with UNIDO and Ministry of Environment and Forestry. Includes 6 annexes covering international conventions, regulatory frameworks, and institutional arrangements.",N/A,POPs;PCB;chemicals;regulation;Indonesia;UNIDO;environment;pollution,environment;regulation,en,Mohamad Mova Al'Afghani et al,CRPG/UNIDO/Ministry of Environment,2017-07,2017-07,https://blog.crpg.info/2017/07/regulation-of-persistent-organic.html,Unknown,/research/pops;/projects/unido,1,pending,pending,Major environmental regulation research - multi-part report
asset_006,pdf,pending,assets/pdfs/reports/assessment/2017-ogp-irm-end-of-term-report-2013-2015.pdf,2017-ogp-irm-end-of-term-report-2013-2015.pdf,pending,3-5 MB est,pdf,application/pdf,pending,N/A,pending,Indonesia OGP-IRM End of Term Report 2013-2015,Independent assessment of Indonesia's Open Government Partnership commitments and implementation for the 2013-2015 period.,N/A,OGP;Open Government Partnership;IRM;transparency;accountability;Indonesia;governance,governance;transparency,en,CRPG (Independent Reviewer),OGP/CRPG,2017-07,2017-07,https://blog.crpg.info/2017/07/indonesia-ogp-irm-end-of-term-report.html,Unknown,/research/ogp;/governance/transparency,1,pending,pending,Independent assessment for OGP
asset_007,pdf,pending,assets/pdfs/research-papers/2017-sanitation/2017-local-government-sanitation-part1.pdf,2017-local-government-sanitation-part1.pdf,pending,2-4 MB est,pdf,application/pdf,pending,N/A,pending,Increasing Local Government Responsibility for Communal Scale Sanitation - Part 1,Research report on local government roles in communal sanitation systems in Indonesia. Collaboration with University of Technology Sydney.,N/A,sanitation;local government;communal;Indonesia;governance;UTS,water;governance,en,CRPG/UTS Researchers,CRPG/UTS Institute for Sustainable Futures,2017-07,2017-07,https://blog.crpg.info/2017/07/increasing-local-government.html,Unknown,/research/sanitation;/partnerships/uts,2,pending,pending,UTS collaboration - two-part report
asset_008,pdf,pending,assets/pdfs/policy-briefs/2021/2021-pb-01-water-allocation-law-17-2019.pdf,2021-pb-01-water-allocation-law-17-2019.pdf,pending,500 KB-2 MB est,pdf,application/pdf,pending,N/A,pending,Policy Brief 01/2021: Water Allocation Issues Under Law 17/2019,Policy brief analyzing five key water allocation issues under Indonesia's Water Law 17/2019.,N/A,water;allocation;law;policy;Indonesia;governance;regulation,water;policy,en/id,Mohamad Mova Al'Afghani,CRPG,2021-01-28,2021-01,https://blog.crpg.info/2021/01/water-allocation-issues-under-law.html,Unknown,/policy/water-law;/publications/policy-briefs,2,pending,pending,Policy Brief series
asset_009,pdf,pending,assets/pdfs/policy-briefs/2018/2018-water-resources-bill-series-01.pdf,2018-water-resources-bill-series-01.pdf,pending,2-5 MB est,pdf,application/pdf,pending,N/A,pending,Seri Kajian Rancangan Undang Undang Sumber Daya Air,Policy analysis series on Indonesia's Water Resources Bill (RUU SDA).,N/A,water;legislation;Indonesia;policy;RUU SDA;analysis,water;policy,id,Mohamad Mova Al'Afghani,CRPG,2018-08,2018-08,https://blog.crpg.info/2018/08/seri-kajian-rancangan-undang-undang.html,Unknown,/policy/water-resources-bill,2,pending,pending,Indonesian language policy series
asset_010,pdf,pending,assets/pdfs/policy-briefs/2018/2018-position-paper-jejaring-ampl-ruu-sda.pdf,2018-position-paper-jejaring-ampl-ruu-sda.pdf,pending,1-3 MB est,pdf,application/pdf,pending,N/A,pending,Kertas Posisi Masukan Jejaring AMPL untuk RUU SDA,Position paper from WASH network (Jejaring AMPL) providing input on Water Resources Bill.,N/A,water;WASH;position paper;Indonesia;legislation;AMPL,water;policy,id,Jejaring AMPL/CRPG,Jejaring AMPL,2018-10,2018-10,https://blog.crpg.info/2018/10/kertas-posisi-masukan-jejaring-ampl.html,Unknown,/policy/wash-network,2,pending,pending,WASH network position paper
asset_011,image,pending,assets/images/logos/crpg/logo-crpg-primary.svg,logo-crpg-primary.svg,pending,50-200 KB est,svg,image/svg+xml,pending,vector,N/A,CRPG Logo Primary,Primary logo for Center for Regulation Policy and Governance (CRPG).,CRPG logo - Center for Regulation Policy and Governance,CRPG;logo;branding;organization,branding,N/A,CRPG Design Team,CRPG,pending,pending,https://crpg.info/,All Rights Reserved,/header;/footer;/about;all pages,1,pending,pending,PRIMARY BRANDING - obtain SVG and PNG variants
asset_012,image,pending,assets/images/logos/crpg/logo-crpg-primary.png,logo-crpg-primary.png,pending,50-200 KB est,png,image/png,pending,pending,N/A,CRPG Logo Primary PNG,Primary logo for CRPG in PNG format for maximum compatibility.,CRPG logo - Center for Regulation Policy and Governance,CRPG;logo;branding;organization,branding,N/A,CRPG Design Team,CRPG,pending,pending,https://crpg.info/,All Rights Reserved,/header;/footer;/about;all pages,1,pending,pending,PNG variant of primary logo
asset_013,image,pending,assets/images/team/core/team-mohamad-mova-alafghani.jpg,team-mohamad-mova-alafghani.jpg,pending,100-500 KB est,jpg,image/jpeg,pending,pending,N/A,Mohamad Mova Al'Afghani,Professional photo of Mohamad Mova Al'Afghani - Director of CRPG and PhD researcher.,Photo of Mohamad Mova Al'Afghani - CRPG Director,team;personnel;director;researcher,team,N/A,Unknown,CRPG,pending,pending,https://crpg.info/profile/,Unknown,/profile;/team;/about,2,pending,pending,Director - core team member
asset_014,image,pending,assets/images/team/core/team-dyah-paramita.jpg,team-dyah-paramita.jpg,pending,100-500 KB est,jpg,image/jpeg,pending,pending,N/A,Dyah Paramita,Professional photo of Dyah Paramita - Secretary of CRPG and LLM researcher.,Photo of Dyah Paramita - CRPG Secretary,team;personnel;secretary;researcher,team,N/A,Unknown,CRPG,pending,pending,https://crpg.info/profile/,Unknown,/profile;/team,2,pending,pending,Secretary - core team member
asset_015,image,pending,assets/images/research/iswash-2023/iswash-2023-symposium-group-photo.jpg,iswash-2023-symposium-group-photo.jpg,pending,500 KB-2 MB est,jpg,image/jpeg,pending,pending,N/A,IsWASH 2023 Symposium Group Photo,Group photograph from the Indonesian Water Sanitation and Hygiene Symposium 2023.,Group photo of IsWASH 2023 symposium participants,IsWASH;symposium;conference;WASH;water;2023,events;water,N/A,Event Photographer,CRPG/Bappenas,2023-03-21,2023,https://crpg.info/wash/,Unknown,/wash/symposium;/events/2023,2,pending,pending,Major event photo
asset_016,image,pending,assets/images/research/aiira-2016/aiira-2016-field-study-water-tank-01.jpg,aiira-2016-field-study-water-tank-01.jpg,pending,200 KB-1 MB est,jpg,image/jpeg,pending,pending,N/A,AIIRA Field Study - Community Water Tank,Photograph of community water tank system from AIIRA field study in East Nusa Tenggara or East Java.,Community water storage tank from AIIRA research,AIIRA;field study;water;community;tank;infrastructure,research;water,N/A,Field Researcher,CRPG/UNESCO,2016,2016,https://blog.crpg.info/2016/australia-indonesia-infrastructure-research/,Unknown,/research/aiira;/projects/community-water,2,pending,pending,Field research documentation
asset_017,image,pending,assets/images/research/pops-2017/pops-2017-diagram-regulatory-framework.png,pops-2017-diagram-regulatory-framework.png,pending,100-500 KB est,png,image/png,pending,pending,N/A,POPs Regulatory Framework Diagram,Diagram illustrating the regulatory framework for persistent organic pollutants in Indonesia.,Diagram showing POPs regulatory framework structure,POPs;regulation;framework;diagram;Indonesia,research;environment,en,CRPG Research Team,CRPG/UNIDO,2017,2017,https://blog.crpg.info/2017/07/regulation-of-persistent-organic.html,Unknown,/research/pops;/environment/chemicals,2,pending,pending,Research diagram/infographic
asset_018,image,pending,assets/images/blog/2023/blog-2023-07-water-governance-featured.jpg,blog-2023-07-water-governance-featured.jpg,pending,100-400 KB est,jpg,image/jpeg,pending,pending,N/A,Water Governance Featured Image,Featured image for blog post about nine Indonesia water governance articles.,Water infrastructure and governance concept image,water;governance;Indonesia;blog;featured,blog;water,N/A,Stock/Unknown,Unknown,pending,2023-07,https://blog.crpg.info/2023/07/9-nine-indonesias-water-governance.html,Unknown,/blog/2023-water-governance-articles,3,pending,pending,Blog featured image
asset_019,image,pending,assets/images/blog/2022/blog-2022-02-webinar-kickoff-swa.jpg,blog-2022-02-webinar-kickoff-swa.jpg,pending,100-400 KB est,jpg,image/jpeg,pending,pending,N/A,WASH Webinar Featured Image,Featured image for webinar kickoff post - SWA and MAM Jejaring AMPL.,Webinar announcement graphic,webinar;WASH;SWA;MAM;AMPL;blog,blog;events,N/A,Unknown,CRPG,pending,2022-02,https://blog.crpg.info/2022/02/webinar-kick-off-swa-mam-jejaring-ampl.html,Unknown,/blog/2022-webinar-wash,3,pending,pending,Event announcement image
asset_020,image,pending,assets/images/blog/2021/blog-2021-01-water-allocation-diagram.png,blog-2021-01-water-allocation-diagram.png,pending,100-300 KB est,png,image/png,pending,pending,N/A,Water Allocation Diagram,Diagram illustrating water allocation issues under Law 17/2019.,Diagram of water allocation framework,water;allocation;law;diagram;Indonesia,blog;water,en,CRPG,CRPG,2021-01,2021-01,https://blog.crpg.info/2021/01/water-allocation-issues-under-law.html,Unknown,/blog/2021-water-allocation,3,pending,pending,Blog inline diagram
asset_021,image,pending,assets/images/logos/partners/logo-unesco-partner.png,logo-unesco-partner.png,pending,50-150 KB est,png,image/png,pending,pending,N/A,UNESCO Logo,UNESCO (United Nations Educational Scientific and Cultural Organization) partner logo.,UNESCO logo,UNESCO;partner;logo;organization,branding,N/A,UNESCO,UNESCO,pending,pending,https://crpg.info/,UNESCO,/partners;/research/aiira,2,pending,pending,Partner organization logo
asset_022,image,pending,assets/images/logos/partners/logo-unido-partner.png,logo-unido-partner.png,pending,50-150 KB est,png,image/png,pending,pending,N/A,UNIDO Logo,UNIDO (United Nations Industrial Development Organization) partner logo.,UNIDO logo,UNIDO;partner;logo;organization,branding,N/A,UNIDO,UNIDO,pending,pending,https://crpg.info/,UNIDO,/partners;/research/pops,2,pending,pending,Partner organization logo
asset_023,image,pending,assets/images/logos/partners/logo-bappenas-partner.png,logo-bappenas-partner.png,pending,50-150 KB est,png,image/png,pending,pending,N/A,Bappenas Logo,Bappenas (Indonesian Ministry of National Development Planning) partner logo.,Bappenas logo,Bappenas;partner;logo;government;Indonesia,branding,N/A,Bappenas,Bappenas,pending,pending,https://crpg.info/,Government of Indonesia,/partners;/wash/symposium,2,pending,pending,Government partner logo
asset_024,image,pending,assets/images/events/symposiums/event-2023-03-iswash-symposium-keynote.jpg,event-2023-03-iswash-symposium-keynote.jpg,pending,200-600 KB est,jpg,image/jpeg,pending,pending,N/A,IsWASH 2023 Keynote Presentation,Photograph of keynote speaker at IsWASH 2023 symposium.,Keynote speaker presenting at IsWASH 2023,IsWASH;symposium;keynote;presentation;2023,events;water,N/A,Event Photographer,CRPG/Bappenas,2023-03-20,2023,https://crpg.info/wash/,Unknown,/events/iswash-2023,3,pending,pending,Event documentation photo
asset_025,image,pending,assets/images/events/symposiums/event-2023-03-iswash-symposium-panel-discussion.jpg,event-2023-03-iswash-symposium-panel-discussion.jpg,pending,200-600 KB est,jpg,image/jpeg,pending,pending,N/A,IsWASH 2023 Panel Discussion,Photograph of panel discussion at IsWASH 2023 symposium.,Panel discussion at IsWASH 2023,IsWASH;symposium;panel;discussion;2023,events;water,N/A,Event Photographer,CRPG/Bappenas,2023-03-20,2023,https://crpg.info/wash/,Unknown,/events/iswash-2023,3,pending,pending,Event documentation photo
asset_026,pdf,pending,assets/downloads/presentations/conferences/2018-08-dioxin-conference-pops-pcb-regulation.pdf,2018-08-dioxin-conference-pops-pcb-regulation.pdf,pending,2-10 MB est,pdf,application/pdf,pending,N/A,pending,CRPG Presentation at the 2018 Dioxin Conference,Conference presentation on POPs and PCB regulation from Dioxin 2018 conference in Krakow Poland.,N/A,Dioxin;conference;POPs;PCB;presentation;2018;Poland,presentations;environment,en,Mohamad Mova Al'Afghani,CRPG,2018-08,2018-08,https://blog.crpg.info/2018/08/crpg-presentation-at-2018-dioxin.html,Unknown,/presentations/dioxin-2018;/research/pops,3,pending,pending,International conference presentation
asset_027,video,https://www.youtube.com/watch?v=pending,assets/media/videos/webinars/2022-02-wash-webinar-swa-mam-kickoff.txt,2022-02-wash-webinar-swa-mam-kickoff.txt,pending,N/A,txt,text/plain,pending,N/A,N/A,Webinar Kick-off SWA & MAM Jejaring AMPL - CRPG,YouTube video of WASH webinar kickoff for SWA (Sanitation and Water for All) and MAM (Mutual Accountability Mechanism) with Jejaring AMPL network.,Video recording of WASH webinar,webinar;WASH;SWA;MAM;AMPL;video;YouTube,events;water,id/en,CRPG Team,CRPG,2022-02-20,2022-02,https://blog.crpg.info/2022/02/webinar-kick-off-swa-mam-jejaring-ampl.html,Unknown,/events/2022-wash-webinar,3,pending,pending,External YouTube video - store URL and metadata only
asset_028,image,pending,assets/images/general/water/water-infrastructure-pipe-system.jpg,water-infrastructure-pipe-system.jpg,pending,200-500 KB est,jpg,image/jpeg,pending,pending,N/A,Water Infrastructure Pipe System,General stock photo of water pipeline infrastructure system.,Water pipes and infrastructure,water;infrastructure;pipes;stock,general,N/A,Stock Photo,Unknown,pending,pending,https://blog.crpg.info/,Unknown,/topics/water-infrastructure;/general-use,4,pending,pending,General stock imagery
asset_029,image,pending,assets/images/general/governance/governance-community-meeting.jpg,governance-community-meeting.jpg,pending,200-500 KB est,jpg,image/jpeg,pending,pending,N/A,Community Governance Meeting,Stock photo of community governance meeting or stakeholder consultation.,Community meeting for governance discussion,governance;community;meeting;consultation;stock,general,N/A,Stock Photo,Unknown,pending,pending,https://blog.crpg.info/,Unknown,/topics/governance;/general-use,4,pending,pending,General stock imagery
asset_030,image,pending,assets/images/general/environment/environment-water-quality-testing.jpg,environment-water-quality-testing.jpg,pending,200-500 KB est,jpg,image/jpeg,pending,pending,N/A,Water Quality Testing,Stock photo of water quality testing in laboratory or field setting.,Water quality testing and analysis,environment;water;quality;testing;laboratory;stock,general,N/A,Stock Photo,Unknown,pending,pending,https://blog.crpg.info/,Unknown,/topics/environment;/water-quality;/general-use,4,pending,pending,General stock imagery
